Wall time,Step,Value
1645559656.7108202,1140,218.8320770263672
1645559659.4814665,1147,285.32928466796875
1645559661.4224284,1151,251.1836700439453
1645559661.7500637,1152,316.75799560546875
1645559661.9808657,1153,233.9942626953125
1645559665.1923916,1161,256.98028564453125
1645559665.953944,1163,231.0282440185547
1645559666.594154,1165,253.4845733642578
1645559668.1136959,1168,254.76622009277344
1645559671.1947577,1174,243.90682983398438
1645559671.963965,1175,273.3157958984375
1645559673.506119,1177,249.76913452148438
1645559674.0641994,1178,263.4400634765625
1645559674.625932,1179,246.41600036621094
1645559676.5268493,1183,209.56553649902344
1645559677.5067186,1185,272.6670227050781
1645559678.188924,1187,278.9529724121094
1645559680.2573862,1190,174.10110473632812
1645559680.7119834,1191,259.87469482421875
1645559682.0511954,1194,261.9600830078125
1645559682.457915,1195,248.04476928710938
1645559683.7894747,1198,214.10256958007812
1645559688.0593803,1206,259.6967468261719
1645559688.4588943,1207,250.79100036621094
1645559688.7532957,1208,276.23980712890625
1645559692.677075,1215,290.5980529785156
1645559695.6387575,1219,241.02020263671875
1645559700.3539982,1224,219.7415008544922
1645559701.5275292,1226,239.35308837890625
1645559703.0488477,1230,239.09207153320312
1645559704.2336082,1233,251.6597137451172
1645559706.902723,1239,232.95616149902344
1645559709.08379,1245,-2.467818260192871
1645559710.017087,1247,249.38368225097656
1645559711.407795,1250,272.3242492675781
1645559711.8629014,1251,302.00140380859375
1645559712.1862552,1252,249.0337677001953
1645559712.5988781,1253,273.708251953125
1645559713.236438,1255,264.86962890625
1645559713.8831298,1257,244.62379455566406
1645559714.3061419,1258,269.1947021484375
1645559715.8954747,1261,269.5406494140625
1645559716.621523,1262,238.2203369140625
1645559719.2704875,1268,270.983642578125
1645559721.105163,1272,-8.306036949157715
1645559725.680535,1277,233.98019409179688
1645559726.002672,1278,244.18051147460938
1645559726.2926888,1279,305.03692626953125
1645559728.8168352,1283,253.0362548828125
1645559731.237321,1286,253.0784149169922
1645559733.235123,1291,257.2491455078125
1645559734.1246927,1294,301.6966857910156
1645559736.8427784,1299,280.94647216796875
1645559737.1937861,1300,286.42236328125
1645559739.1576383,1303,264.62457275390625
1645559740.8697636,1307,283.4704895019531
1645559742.659158,1311,270.7583312988281
1645559745.1496117,1316,278.1720275878906
1645559747.0437891,1321,262.3764953613281
1645559747.715154,1323,227.40164184570312
1645559749.2013304,1326,228.15907287597656
1645559749.671529,1327,257.22869873046875
1645559750.2863486,1329,284.6465759277344
1645559753.4783206,1336,222.654052734375
1645559758.9301784,1346,255.9053192138672
1645559759.9683754,1349,13.303033828735352
